SKU,Revenue,Cumulative_Revenue,Cumulative_Pct,ABC_Class
JNE3615-KR-XXL,903.0,77929697.51000026,99.17999627085361,C
JNE3279-KR-A-XS,903.0,77930600.51000026,99.18114550586279,C
JNE2307-KR-572-XL,903.0,77931503.51000026,99.18229474087195,C
AN205-YELLOW-XL,903.0,77932406.51000026,99.18344397588112,C
JNE3416-KR-M,903.0,77933309.51000026,99.1845932108903,C
BTM035-NP-XXXL,903.0,77934212.51000026,99.18574244589946,C
AN211-BLACK-S,903.0,77935115.51000026,99.18689168090864,C
JNE3517-KR-M,902.0,77936017.51000026,99.1880396432323,C
MEN5030-KR-S,900.0,77936917.51000026,99.18918506018497,C
SAR071,899.0,77937816.51000026,99.19032920445213,C
J0304-TP-XL,899.0,77938715.51000026,99.19147334871928,C
JNE3429-KR-XXL,899.0,77939614.51000026,99.19261749298644,C
J0431-DR-XL,899.0,77940513.51000026,99.1937616372536,C
J0431-DR-XXL,899.0,77941412.51000026,99.19490578152076,C
BTM033-NP-XXXL,899.0,77942311.51000026,99.19604992578792,C
JNE3666-TP-XXL,899.0,77943210.51000026,99.19719407005508,C
J0152-DR-M,899.0,77944109.51000026,99.19833821432223,C
JNE3666-TP-M,899.0,77945008.51000026,99.19948235858939,C
SET431-KR-NP-XS,899.0,77945907.51000026,99.20062650285655,C
SET431-KR-NP-XXL,899.0,77946806.51000026,99.20177064712371,C
JNE3825-KR-XXXL,898.0,77947704.51000026,99.20291351870537,C
SAR030,898.0,77948602.51000026,99.20405639028702,C
JNE3666-TP-XS,897.0,77949499.51000026,99.20519798918318,C
JNE3436-KR-S,897.0,77950396.51000026,99.20633958807933,C
JNE3429-KR-L,897.0,77951293.51000026,99.20748118697549,C
JNE3574-KR-XL,897.0,77952190.51000026,99.20862278587164,C
J0279-SET-XXL,895.0,77953085.51000026,99.20976183939679,C
NW002-TP-PJ-XXL,892.4300000000001,77953977.94000027,99.2108976221202,C
JNE3369-KR-M,892.0,77954869.94000027,99.21203285758884,C
SET155-KR-PP-S,892.0,77955761.94000027,99.21316809305748,C
JNE3452-KR-S,891.0,77956652.94000027,99.21430205584062,C
SET060-KR-NP-XL,891.0,77957543.94000027,99.21543601862375,C
JNE3471-KR-XXL,891.0,77958434.94000027,99.21656998140689,C
JNE3694-KR-M,891.0,77959325.94000027,99.21770394419002,C
CH205-YELLOW-XXL,891.0,77960216.94000027,99.21883790697315,C
JNE3763-KR-S,891.0,77961107.94000027,99.2199718697563,C
JNE3504-KR-XXXL,890.0,77961997.94000027,99.22110455985393,C
JNE3042-KR-XS,888.6700000000001,77962886.61000027,99.22223555727983,C
JNE3694-KR-XXL,888.6700000000001,77963775.28000027,99.22336655470575,C
SET353-KR-NP-XXL,888.0,77964663.28000027,99.22449669943238,C
JNE3625-DR-S,887.0,77965550.28000027,99.2256255714735,C
SET254-KR-NP-XL,886.0,77966436.28000027,99.22675317082913,C
J0183-TP-XS,886.0,77967322.28000027,99.22788077018474,C
J0413-DR-XXXL,885.0,77968207.28000027,99.22900709685486,C
JNE3471-KR-XXXL,885.0,77969092.28000027,99.23013342352498,C
SET271-KR-NP-M,885.0,77969977.28000027,99.2312597501951,C
SET271-KR-NP-XXXL,885.0,77970862.28000027,99.23238607686521,C
SAR059,885.0,77971747.28000027,99.23351240353533,C
J0104-KR-XL,884.0,77972631.28000027,99.23463745751994,C
JNE3621-KR-A-XXXL,883.0,77973514.28000027,99.23576123881905,C
JNE3488-KR-XXL,882.76,77974397.04000027,99.23688471467366,C
BL111-M,882.0,77975279.04000027,99.23800722328727,C
SET390-KR-NP-S,882.0,77976161.04000027,99.23912973190087,C
J0166-DR-XL,882.0,77977043.04000027,99.24025224051448,C
JNE3610-KR-S,881.0,77977924.04000027,99.24137347644259,C
SET129-KR-NP-XL,880.0,77978804.04000027,99.24249343968519,C
SET100-KR-PP-S,878.0,77979682.04000027,99.24361085755679,C
SET100-KR-PP-L,878.0,77980560.04000027,99.24472827542839,C
JNE3415-KR-S,874.34,77981434.38000028,99.24584103527104,C
SET337-KR-NP-XL,874.0,77982308.38000028,99.24695336240063,C
SET337-KR-NP-XXL,874.0,77983182.38000028,99.24806568953021,C
SET336-KR-NP-XS,874.0,77984056.38000028,99.2491780166598,C
JNE3474-KR-E-XL,872.0,77984928.38000028,99.25028779841837,C
PSET058-KR-NP-5XL,871.0,77985799.38000028,99.25139630749145,C
J0319-KR-S,871.0,77986670.38000028,99.25250481656452,C
J0319-KR-XXL,871.0,77987541.38000028,99.2536133256376,C
JNE3625-DR-XXL,868.0,77988409.38000028,99.25471801665417,C
JNE3550-KR-XS,867.0,77989276.38000028,99.25582143498524,C
SET336-KR-NP-M,865.0,77990141.38000028,99.25692230794529,C
BL079-87RED,865.0,77991006.38000028,99.25802318090535,C
J0168-DR-M,864.9,77991871.28000028,99.25912392659687,C
JNE3760-KR-XXL,864.0,77992735.28000028,99.26022352687143,C
JNE3760-KR-XS,864.0,77993599.28000028,99.26132312714599,C
J0110-SKD-S,864.0,77994463.28000028,99.26242272742054,C
JNE3432-KR-M,864.0,77995327.28000028,99.2635223276951,C
J0110-SKD-XXL,864.0,77996191.28000028,99.26462192796966,C
JNE3391-KR-XL,864.0,77997055.28000028,99.2657215282442,C
JNE3748-KR-M,862.0,77997917.28000028,99.26681858314775,C
JNE3734-KR-XS,862.0,77998779.28000028,99.2679156380513,C
JNE3288-KR-XS,862.0,77999641.28000028,99.26901269295486,C
JNE3296-KR-M,862.0,78000503.28000028,99.2701097478584,C
JNE3296-KR-XL,862.0,78001365.28000028,99.27120680276195,C
J0429-DR-S,859.0,78002224.28000028,99.272300039609,C
J0291-JS-XL,859.0,78003083.28000028,99.27339327645603,C
J0291-JS-XXXL,859.0,78003942.28000028,99.27448651330307,C
J0429-DR-XXL,859.0,78004801.28000028,99.27557975015011,C
J0429-DR-XL,859.0,78005660.28000028,99.27667298699716,C
JNE2251-KR-537-XS,858.0,78006518.28000028,99.2777649511587,C
JNE2251-KR-537-XL,858.0,78007376.28000028,99.27885691532023,C
JNE3579-KR-L,856.9,78008233.18000029,99.27994747952772,C
J0173-DR-S,856.0,78009089.18000029,99.28103689831825,C
SET087-KR-PP-XS,855.0,78009944.18000029,99.28212504442328,C
SET266-KR-NP-S,852.0,78010796.18000029,99.2832093724718,C
SET315-KR-PP-L,852.0,78011648.18000029,99.28429370052032,C
SET272-KR-PP-A-S,852.0,78012500.18000029,99.28537802856884,C
JNE3927-KR-XL,852.0,78013352.18000029,99.28646235661736,C
JNE3734-KR-M,849.0,78014201.18000029,99.28754286660937,C
SET245-KR-NP-L,849.0,78015050.18000029,99.28862337660138,C
SET245-KR-NP-XXL,849.0,78015899.18000029,99.28970388659339,C
J0186-SET-S,848.0,78016747.18000029,99.2907831238999,C
J0186-SET-XXL,848.0,78017595.18000029,99.29186236120641,C
J0186-SET-XS,848.0,78018443.18000029,99.29294159851291,C
J0186-SET-XL,848.0,78019291.18000029,99.29402083581942,C
CH208-MUSTARD-L,847.0,78020138.18000029,99.29509880044043,C
J0174-TP-XS,846.0,78020984.18000029,99.29617549237594,C
J0174-TP-XL,846.0,78021830.18000029,99.29725218431143,C
JNE3460-KR-L,846.0,78022676.18000029,99.29832887624694,C
SET431-KR-NP-XL,845.0,78023521.18000029,99.29940429549693,C
JNE3477-KR-S,845.0,78024366.18000029,99.30047971474693,C
SET019-KR-PP-A-S,844.0,78025210.18000029,99.30155386131143,C
SET003-KR-NP-A-XXL,844.0,78026054.18000029,99.30262800787592,C
SET003-KR-NP-A-S,844.0,78026898.18000029,99.30370215444042,C
JNE3717-KR-XXL,843.0,78027741.18000029,99.30477502831941,C
JNE3717-KR-L,843.0,78028584.18000029,99.30584790219841,C
JNE3715-KR-XXXL,843.0,78029427.18000029,99.3069207760774,C
JNE3481-KR-XS,843.0,78030270.18000029,99.3079936499564,C
J0137-SET-XS,841.0,78031111.18000029,99.30906397846438,C
J0150-KR-L,840.0,78031951.18000029,99.31013303428686,C
BL111-S,840.0,78032791.18000029,99.31120209010935,C
JNE2101-KR-210-XL,840.0,78033631.18000029,99.31227114593183,C
SET142-KR-PP-L,838.0,78034469.18000029,99.31333765638331,C
BL003-50BLACK,838.0,78035307.18000029,99.31440416683479,C
BL010-61CHIKU-B,838.0,78036145.18000029,99.31547067728627,C
JNE3903-KR-XL,838.0,78036983.18000029,99.31653718773775,C
JNE3792-KR-XS,838.0,78037821.18000029,99.31760369818923,C
JNE3679-TU-S,837.0,78038658.18000029,99.3186689359552,C
J0300-TP-L,837.0,78039495.18000029,99.31973417372117,C
BL019-71PINK,837.0,78040332.18000029,99.32079941148716,C
JNE3776-KR-XXXL,837.0,78041169.18000029,99.32186464925313,C
JNE3715-KR-M,835.52,78042004.70000029,99.32292800344456,C
JNE2292-KR-588-L,835.0,78042839.70000029,99.32399069583953,C
SET336-KR-NP-XXL,833.0,78043672.70000029,99.32505084286349,C
SET301-KR-PP-L,833.0,78044505.70000029,99.32611098988745,C
